id,name,muscles_main,muscles_secondary,equipment,movement
single_arm_cable_fly,Single Arm Cable Fly,"['chest']","['core']","['cable']",push
single_arm_db_press,Single Arm Dumbbell Press,"['chest']","['core', 'triceps']","['dumbbell']",push
svend_press_plate,Svend Press,"['chest']","['shoulders']","['plate']",push
dips_chest,Chest Dips,"['lower_chest']","['triceps', 'shoulders']","['bodyweight']",push
weighted_chest_dips,Weighted Chest Dips,"['lower_chest']","['triceps', 'shoulders']","['bodyweight', 'other']",push
push_up_std,Standard Push-Up,"['chest']","['triceps', 'shoulders']","['bodyweight']",push
push_up_diamond,Diamond Push-Up,"['triceps']","['chest', 'shoulders']","['bodyweight']",push
push_up_wide,Wide Push-Up,"['chest']","['shoulders']","['bodyweight']",push
push_up_archer,Archer Push-Up,"['chest']","['triceps', 'core']","['bodyweight']",push
push_up_decline,Decline Push-Up,"['upper_chest']","['triceps', 'shoulders']","['bodyweight']",push
push_up_incline,Incline Push-Up,"['lower_chest']","['triceps']","['bodyweight']",push
push_up_plus,Push-Up Plus,"['serratus_anterior']","['chest', 'triceps']","['bodyweight']",push
pike_push_up,Pike Push-Up,"['shoulders']","['triceps']","['bodyweight']",push
handstand_push_up,Handstand Push-Up,"['shoulders']","['triceps']","['bodyweight']",push
clap_push_up,Clap Push-Up,"['chest']","['triceps', 'power']","['bodyweight']",push
crossover_push_up,Crossover Push-Up,"['chest']","['core', 'triceps']","['bodyweight']",push
pseudo_planche_pushup,Pseudo Planche Push-Up,"['shoulders']","['chest', 'triceps']","['bodyweight']",push
ohp_bb,Barbell Overhead Press,"['shoulders']","['triceps', 'core', 'traps']","['barbell']",push
military_press_bb,Military Press (Strict),"['shoulders']","['triceps', 'core']","['barbell']",push
shoulder_press_db,Dumbbell Shoulder Press,"['shoulders']","['triceps']","['dumbbell']",push
arnold_press_db,Arnold Press,"['shoulders']","['triceps', 'traps', 'rear_delts']","['dumbbell']",push
shoulder_press_machine,Machine Shoulder Press,"['shoulders']","['triceps']","['machine']",push
push_press_bb,Barbell Push Press,"['shoulders']","['legs', 'triceps', 'core']","['barbell']",push
jerk_bb,Barbell Jerk,"['shoulders']","['legs', 'triceps', 'power']","['barbell']",push
lateral_raise_db,Dumbbell Lateral Raise,"['shoulders']","['traps']","['dumbbell']",push
lateral_raise_cable,Cable Lateral Raise,"['shoulders']","['traps']","['cable']",push
lateral_raise_machine,Machine Lateral Raise,"['shoulders']","","['machine']",push
front_raise_db,Dumbbell Front Raise,"['shoulders']","['upper_chest']","['dumbbell']",push
front_raise_bb,Barbell Front Raise,"['shoulders']","['upper_chest']","['barbell']",push
front_raise_plate,Plate Front Raise,"['shoulders']","","['plate']",push
y_raise_db,Incline Dumbbell Y-Raise,"['shoulders']","['traps', 'upper_back']","['dumbbell']",push
upright_row_bb,Barbell Upright Row,"['traps', 'shoulders']","['biceps']","['barbell']",push
bus_driver_plate,Bus Driver,"['shoulders']","['forearms']","['plate']",push
landmine_press_std,Landmine Press,"['shoulders', 'chest']","['triceps']","['barbell']",push
javelin_press,Javelin Press,"['shoulders']","['core', 'stability']","['barbell']",push
skull_crushers_ez,EZ-Bar Skull Crushers,"['triceps']","['forearms']","['barbell']",push
skull_crushers_db,Dumbbell Skull Crushers,"['triceps']","['forearms']","['dumbbell']",push
tricep_pushdown_rope,Cable Rope Pushdown,"['triceps']","","['cable']",push
tricep_pushdown_v_bar,V-Bar Tricep Pushdown,"['triceps']","","['cable']",push
tricep_pushdown_straight,Straight Bar Pushdown,"['triceps']","","['cable']",push
reverse_grip_pushdown,Reverse Grip Cable Pushdown,"['triceps']","","['cable']",push
oh_tricep_ext_db,Overhead Dumbbell Extension,"['triceps']","","['dumbbell']",push
oh_tricep_ext_cable,Overhead Cable Extension,"['triceps']","","['cable']",push
tricep_kickback_db,Dumbbell Tricep Kickback,"['triceps']","['shoulders']","['dumbbell']",push
tricep_kickback_cable,Cable Tricep Kickback,"['triceps']","","['cable']",push
bench_dips,Bench Dips,"['triceps']","['chest', 'shoulders']","['bodyweight']",push
weighted_bench_dips,Weighted Bench Dips,"['triceps']","['chest', 'shoulders']","['bodyweight', 'plate']",push
jm_press_bb,JM Press,"['triceps']","['chest']","['barbell']",push
band_push_up,Banded Push-Up,"['chest']","['triceps', 'shoulders']","['band', 'bodyweight']",push
band_chest_press,Banded Chest Press,"['chest']","['triceps', 'shoulders']","['band']",push
band_overhead_press,Banded Overhead Press,"['shoulders']","['triceps']","['band']",push
band_lateral_raise,Banded Lateral Raise,"['shoulders']","['traps']","['band']",push
band_tricep_ext,Banded Tricep Extension,"['triceps']","","['band']",push
kb_overhead_press,Kettlebell Overhead Press,"['shoulders']","['triceps', 'core']","['kettlebell']",push
kb_floor_press,Kettlebell Floor Press,"['chest']","['triceps']","['kettlebell']",push
kb_arnold_press,Kettlebell Arnold Press,"['shoulders']","['triceps', 'rear_delts']","['kettlebell']",push
kb_bottoms_up_press,Bottoms-Up KB Press,"['shoulders']","['grip', 'core']","['kettlebell']",push
smith_bench_press,Smith Machine Bench Press,"['chest']","['triceps', 'shoulders']","['machine']",push
smith_shoulder_press,Smith Machine Shoulder Press,"['shoulders']","['triceps']","['machine']",push
smith_incline_press,Smith Machine Incline Press,"['upper_chest']","['triceps']","['machine']",push
machine_tricep_ext,Machine Tricep Extension,"['triceps']","","['machine']",push
wall_slide_serratus,Serratus Wall Slide,"['serratus_anterior']","['shoulders']","['bodyweight']",push
cable_crossover_std,Standing Cable Crossover,"['chest']","['shoulders']","['cable']",push
neutral_grip_db_press,Neutral Grip Dumbbell Bench Press,"['chest']","['triceps', 'shoulders']","['dumbbell']",push
board_press_bb,Board Press,"['chest']","['triceps']","['barbell']",push
larsen_press_bb,Larsen Press,"['chest']","['triceps', 'shoulders']","['barbell']",push
guillotine_press_bb,Guillotine Press,"['upper_chest']","['shoulders', 'triceps']","['barbell']",push
cable_chest_press_std,Standing Cable Chest Press,"['chest']","['triceps', 'shoulders']","['cable']",push
z_press_bb,Barbell Z Press,"['shoulders']","['core', 'triceps']","['barbell']",push
z_press_db,Dumbbell Z Press,"['shoulders']","['core', 'triceps']","['dumbbell']",push
bradford_press_bb,Bradford Press,"['shoulders']","['triceps']","['barbell']",push
behind_neck_press_bb,Behind the Neck Press,"['shoulders']","['traps', 'triceps']","['barbell']",push
viking_press_landmine,Landmine Viking Press,"['shoulders']","['triceps', 'core']","['barbell']",push
half_kneeling_landmine_press,Half-Kneeling Landmine Press,"['shoulders']","['core', 'triceps']","['barbell']",push
cable_front_raise,Cable Front Raise,"['shoulders']","['upper_chest']","['cable']",push
cable_upright_row,Cable Upright Row,"['traps', 'shoulders']","['biceps']","['cable']",push
tate_press_db,Tate Press,"['triceps']","['chest']","['dumbbell']",push
california_press_db,California Press,"['triceps']","['chest', 'shoulders']","['dumbbell']",push
rolling_tricep_ext_db,Rolling Dumbbell Tricep Extension,"['triceps']","['shoulders']","['dumbbell']",push
ring_dips,Ring Dips,"['chest', 'triceps']","['shoulders', 'stability']","['bodyweight']",push
ez_bar_shoulder_press,EZ-Bar Shoulder Press,"['shoulders']","['triceps']","['barbell']",push
reverse_grip_ohp_bb,Reverse Grip Barbell Shoulder Press,"['shoulders', 'upper_chest']","['triceps']","['barbell']",push
wide_grip_bench_bb,Wide Grip Barbell Bench Press,"['chest']","['shoulders', 'triceps']","['barbell']",push
reverse_grip_bench_db,Reverse Grip Dumbbell Bench Press,"['upper_chest']","['triceps']","['dumbbell']",push
single_arm_shoulder_press_db,Single Arm Dumbbell Shoulder Press,"['shoulders']","['triceps', 'core']","['dumbbell']",push
cable_cross_body_tricep_ext,Cable Cross-Body Tricep Extension,"['triceps']","","['cable']",push
db_cross_body_oh_tricep_ext,Dumbbell Cross-Body Overhead Tricep Extension,"['triceps']","","['dumbbell']",push
prone_db_shoulder_press,Prone Dumbbell Shoulder Press,"['rear_delts', 'upper_back']","['traps']","['dumbbell']",push
