id,name,muscles_main,muscles_secondary,equipment,movement
shrug_smith,Smith Machine Shrug,"['traps']","","['machine']",pull
bicep_curl_bb,Barbell Bicep Curl,"['biceps']","['forearms']","['barbell']",pull
bicep_curl_db,Dumbbell Bicep Curl,"['biceps']","['forearms']","['dumbbell']",pull
hammer_curl_db,Dumbbell Hammer Curl,"['biceps', 'forearms']","['brachialis']","['dumbbell']",pull
cross_body_hammer_curl,Cross Body Hammer Curl,"['brachialis', 'biceps']","['forearms', 'shoulders']","['dumbbell']",pull
preacher_curl_ez,EZ-Bar Preacher Curl,"['biceps']","['forearms']","['barbell']",pull
preacher_curl_db,Dumbbell Preacher Curl,"['biceps']","['forearms']","['dumbbell']",pull
concentration_curl,Concentration Curl,"['biceps']","","['dumbbell']",pull
spider_curl_db,Spider Curl,"['biceps']","","['dumbbell']",pull
incline_db_curl,Incline Dumbbell Curl,"['biceps']","","['dumbbell']",pull
zottman_curl,Zottman Curl,"['biceps']","['forearms']","['dumbbell']",pull
zottman_hammer_curl,Zottman Hammer Curl,"['biceps', 'forearms']","","['dumbbell']",pull
reverse_curl_bb,Barbell Reverse Curl,"['forearms', 'biceps']","","['barbell']",pull
bayesian_curl,Bayesian Cable Curl,"['biceps']","","['cable']",pull
cable_bicep_curl,Cable Bicep Curl,"['biceps']","","['cable']",pull
ez_bar_curl,EZ Bar Curl,"['biceps']","['forearms']","['barbell']",pull
wrist_curl_bb,Barbell Wrist Curl,"['forearms']","","['barbell']",pull
wrist_extension_db,Dumbbell Wrist Extension,"['forearms']","","['dumbbell']",pull
plate_pinch_hold,Plate Pinch,"['forearms']","['grip']","['plate']",pull
farmers_walk_db,Farmer's Walk,"['forearms']","['traps', 'core', 'glutes']","['dumbbell']",pull
fat_bar_deadlift,Fat Bar Deadlift,"['glutes', 'forearms']","['hamstrings', 'back']","['barbell']",pull
kb_swing_std,Kettlebell Swing,"['glutes', 'hamstrings']","['lower_back', 'core', 'shoulders']","['kettlebell']",pull
kb_snatch_std,Kettlebell Snatch,"['full_body']","['shoulders', 'back', 'legs']","['kettlebell']",pull
kb_clean_std,Kettlebell Clean,"['full_body']","['legs', 'back', 'forearms']","['kettlebell']",pull
kb_row_one_arm,One-Arm Kettlebell Row,"['back']","['biceps', 'core']","['kettlebell']",pull
band_pull_apart,Resistance Band Pull Apart,"['rear_delts', 'upper_back']","","['band']",pull
band_face_pull,Banded Face Pull,"['rear_delts']","['traps']","['band']",pull
band_bicep_curl,Banded Bicep Curl,"['biceps']","","['band']",pull
band_seated_row,Seated Banded Row,"['back']","['biceps']","['band']",pull
muscle_up_bar,Bar Muscle-Up,"['back', 'chest', 'triceps']","['shoulders', 'core']","['bodyweight']",pull
renegade_row_db,Renegade Row,"['back', 'core']","['shoulders', 'biceps']","['dumbbell']",pull
high_pull_bb,Barbell High Pull,"['traps', 'shoulders']","['legs', 'lower_back']","['barbell']",pull
scap_pull_up,Scapular Pull-Up,"['traps', 'back']","['forearms']","['bodyweight']",pull
dead_hang,Dead Hang,"['forearms']","['back', 'shoulders']","['bodyweight']",pull
atlas_stones,Atlas Stones,"['back', 'glutes']","['forearms', 'lower_back']","['other']",pull
tire_flip,Tire Flip,"['glutes', 'back']","['legs', 'shoulders']","['other']",pull
rope_climb,Rope Climb,"['back', 'biceps']","['core', 'legs', 'forearms']","['other']",pull
chest_supported_row_machine,Chest Supported Machine Row,"['back']","['biceps', 'rear_delts']","['machine']",pull
chest_supported_row_db,Chest Supported Dumbbell Row,"['back']","['biceps', 'rear_delts']","['dumbbell']",pull
yates_row_bb,Yates Row (Underhand Bent Over),"['back', 'biceps']","['forearms']","['barbell']",pull
hs_high_row,Hammer Strength High Row,"['back']","['biceps', 'rear_delts']","['machine']",pull
hs_low_row,Hammer Strength Low Row,"['back']","['biceps']","['machine']",pull
landmine_row_single,Single Arm Landmine Row,"['back']","['biceps', 'core']","['barbell']",pull
smith_row,Smith Machine Bent Over Row,"['back']","['biceps']","['machine']",pull
neutral_grip_pulldown,Neutral Grip Lat Pulldown,"['back']","['biceps', 'brachialis']","['machine']",pull
close_grip_pulldown,Close Grip Lat Pulldown,"['back']","['biceps']","['machine']",pull
commando_pull_up,Commando Pull-Up,"['back']","['biceps', 'core']","['bodyweight']",pull
drag_curl_bb,Drag Curl,"['biceps']","['forearms']","['barbell']",pull
waiter_curl_db,Waiter Curl,"['biceps']","['forearms']","['dumbbell']",pull
plate_curl_std,Plate Curl,"['biceps', 'forearms']","","['plate']",pull
rope_hammer_curl_cable,Cable Rope Hammer Curl,"['biceps', 'forearms']","['brachialis']","['cable']",pull
seated_db_curl,Seated Dumbbell Curl,"['biceps']","['forearms']","['dumbbell']",pull
cable_reverse_fly,Cable Reverse Fly,"['rear_delts']","['upper_back']","['cable']",pull
prone_y_raise,Prone Y Raise,"['rear_delts', 'traps']","['upper_back']","['dumbbell']",pull
reverse_wrist_curl_bb,Reverse Barbell Wrist Curl,"['forearms']","","['barbell']",pull
zercher_deadlift_bb,Barbell Zercher Deadlift,"['glutes', 'quads']","['upper_back', 'core']","['barbell']",pull
deadlift_db,Dumbbell Deadlift,"['glutes', 'hamstrings']","['lower_back', 'forearms']","['dumbbell']",pull
suitcase_deadlift_bb,Barbell Suitcase Deadlift,"['glutes', 'obliques']","['core', 'forearms']","['barbell']",pull
smith_deadlift,Smith Machine Deadlift,"['glutes', 'hamstrings']","['lower_back']","['machine']",pull
machine_plate_row,Machine Plate-Loaded Row,"['back']","['biceps', 'rear_delts']","['machine']",pull
v_bar_seated_row_cable,V-Bar Seated Cable Row,"['back']","['biceps', 'forearms']","['cable']",pull
db_rotational_row,Dumbbell Rotational Row,"['back', 'obliques']","['biceps', 'core']","['dumbbell']",pull
prone_w_raise,Prone W Raise,"['rear_delts', 'traps']","['upper_back']","['dumbbell']",pull
prone_t_raise,Prone T Raise,"['rear_delts', 'mid_traps']","['upper_back']","['dumbbell']",pull
